DEPT,RDEEP_1,RSHAL_1,RMICRO_1,DENB_1,CALI_1,NEUT_1,GR_1,SP_1,DTCOMP_1,PEF_1,DTSH_1
1523.6952,7.9676,6.5796,1.7311,2.2397,12.0602,0.2485,63.9756,-81.0625,106.4441,8.4584,185.5802
1523.8476,7.6912,6.4012,1.6441,2.2669,12.0602,0.2485,67.1698,-80.9375,105.8299,8.7685,184.4808
1524,7.6442,6.4395,1.6459,2.2782,12.0639,0.2484,64.6976,-80.5,106.3107,9.098,183.1185
1524.1524,7.5562,6.4421,1.7049,2.2587,12.0602,0.2588,61.2942,-79.75,106.4382,8.9948,193.605
1524.3048,7.4943,6.4184,1.4806,2.245,12.068,0.2718,58.2171,-79.75,107.0439,8.4157,184.5198
1524.4572,6.9869,6.0897,1.6327,2.2385,12.0567,0.2861,60.5795,-79.6875,106.368,8.2909,185.6956
1524.6096,6.4314,5.6824,1.5165,2.2693,12.068,0.3087,63.5469,-79.6875,106.276,8.157,186.3108
1524.762,6.1392,5.4781,2.0411,2.2984,12.0567,0.2891,67.9393,-79.4375,106.1832,8.8643,185.0648
1524.9144,6.3418,5.6126,1.7495,2.3084,12.068,0.2811,69.3029,-79.125,105.893,9.1627,183.1284
1525.0668,7.1357,6.2829,1.5005,2.2739,12.0809,0.2613,70.5896,-79,107.1007,8.6169,191.0154
1525.2192,8.3187,7.171,1.4962,2.224,12.0446,0.2677,65.0843,-78.6875,107.9706,7.8056,193.267
1525.3716,8.5172,7.2961,1.3529,2.1931,12.0602,0.2851,65.942,-78.5,108.3302,7.4542,193.4183
1525.524,7.9236,6.9043,1.0947,2.1807,12.0639,0.288,62.086,-78.125,107.7051,7.8283,194.4311
1525.6764,6.9836,6.1977,1.1405,2.2146,12.0679,0.2924,69.5238,-77.6875,107.2074,8.2445,190.3353
1525.8288,6.0557,5.4518,2.3219,2.2809,12.0954,0.2637,72.313,-77.625,106.7216,8.2724,195.5898
1525.9812,5.9933,5.3327,1.8151,2.3235,12.0653,0.262,75.3183,-77.625,106.1455,8.2283,186.6112
1526.1336,6.7219,5.9732,1.5718,2.3015,12.0963,0.2641,69.6055,-77.5625,105.5178,8.0863,186.0223
